iter	Passed	Remaining
963	41502	44601
964	41544	44557
965	41587	44515
966	41632	44474
967	41659	44414
968	41702	44370
969	41749	44332
970	41795	44291
971	41838	44248
972	41882	44207
973	41933	44172
974	41982	44135
975	42033	44100
976	42078	44059
977	42122	44017
978	42167	43976
979	42211	43934
980	42229	43864
981	42244	43792
982	42288	43751
983	42332	43709
984	42374	43665
985	42418	43622
986	42459	43578
987	42503	43535
988	42545	43491
989	42586	43447
990	42628	43402
991	42672	43360
992	42693	43295
993	42736	43252
994	42752	43181
995	42795	43139
996	42843	43101
997	42873	43045
998	42917	43003
999	42961	42961
1000	43004	42918
1001	43047	42875
1002	43090	42833
1003	43132	42788
1004	43175	42746
1005	43221	42705
1006	43272	42671
1007	43316	42629
1008	43337	42564
1009	43381	42522
1010	43410	42466
1011	43451	42421
1012	43467	42352
1013	43494	42293
1014	43534	42248
1015	43562	42190
1016	43606	42148
1017	43649	42106
1018	43692	42063
1019	43734	42019
1020	43757	41957
1021	43800	41914
1022	43842	41871
1023	43885	41828
1024	43929	41786
1025	43972	41743
1026	44015	41701
1027	44059	41659
1028	44102	41616
1029	44145	41574
1030	44188	41530
1031	44229	41487
1032	44270	41442
1033	44316	41402
1034	44358	41358
1035	44405	41319
1036	44427	41256
1037	44466	41210
1038	44511	41170
1039	44554	41126
1040	44596	41083
1041	44641	41042
1042	44688	41003
1043	44729	40959
1044	44771	40915
1045	44814	40872
1046	44855	40828
1047	44900	40787
1048	44945	40746
1049	44961	40679
1050	45002	40635
1051	45044	40591
1052	45086	40547
1053	45130	40506
1054	45177	40466
1055	45199	40405
1056	45240	40360
1057	45267	40304
1058	45308	40259
1059	45350	40216
1060	45393	40173
1061	45438	40132
1062	45454	40067
1063	45494	40021
1064	45540	39981
1065	45581	39937
1066	45625	39895
1067	45669	39853
1068	45712	39810
1069	45734	39750
1070	45775	39706
1071	45819	39664
1072	45861	39621
1073	45906	39580
1074	45948	39537
1075	45994	39497
1076	46022	39441
1077	46064	39398
1078	46105	39354
1079	46150	39313
1080	46194	39271
1081	46236	39228
1082	46278	39185
1083	46321	39142
1084	46362	39098
1085	46404	39055
1086	46448	39012
1087	46493	38972
1088	46537	38930
1089	46580	38887
1090	46621	38844
1091	46666	38803
1092	46709	38760
1093	46727	38697
1094	46770	38654
1095	46813	38612
1096	46856	38570
1097	46899	38527
1098	46942	38484
1099	46984	38441
1100	47033	38403
1101	47075	38361
1102	47117	38318
1103	47161	38276
1104	47207	38236
1105	47229	38176
1106	47268	38130
1107	47316	38092
1108	47361	38051
1109	47402	38007
1110	47445	37964
1111	47462	37901
1112	47479	37838
1113	47521	37795
1114	47569	37756
1115	47610	37713
1116	47657	37673
1117	47699	37630
1118	47720	37571
1119	47747	37515
1120	47790	37473
1121	47833	37431
1122	47875	37388
1123	47904	37334
1124	47946	37291
1125	47988	37248
1126	48030	37205
1127	48074	37163
1128	48119	37123
1129	48164	37082
1130	48188	37025
1131	48215	36970
1132	48256	36927
1133	48298	36883
1134	48340	36840
1135	48383	36798
1136	48427	36756
1137	48470	36714
1138	48512	36671
1139	48551	36626
1140	48594	36584
1141	48639	36543
1142	48682	36501
1143	48725	36459
1144	48767	36416
1145	48810	36373
1146	48854	36332
1147	48897	36289
1148	48927	36237
1149	48969	36194
1150	49011	36152
1151	49056	36111
1152	49097	36067
1153	49144	36027
1154	49188	35986
1155	49232	35944
1156	49275	35902
1157	49303	35849
1158	49346	35807
1159	49390	35765
1160	49433	35723
1161	49475	35680
1162	49518	35638
1163	49559	35594
1164	49603	35552
1165	49646	35510
1166	49670	35454
1167	49712	35411
1168	49754	35368
1169	49806	35332
1170	49849	35290
1171	49891	35247
1172	49933	35204
1173	49977	35162
1174	50020	35120
1175	50060	35076
1176	50103	35033
1177	50146	34991
1178	50191	34950
1179	50236	34910
1180	50278	34867
1181	50320	34824
1182	50361	34780
1183	50403	34737
1184	50445	34694
1185	50487	34651
1186	50531	34609
1187	50573	34567
1188	50594	34509
1189	50637	34467
1190	50661	34412
1191	50701	34367
1192	50733	34318
1193	50774	34274
1194	50815	34231
1195	50856	34188
1196	50899	34145
1197	50941	34102
1198	50983	34060
1199	51024	34016
1200	51066	33973
1201	51109	33931
1202	51136	33878
1203	51178	33835
1204	51220	33792
1205	51266	33752
1206	51321	33718
1207	51365	33676
1208	51407	33633
1209	51449	33590
1210	51491	33548
1211	51532	33504
1212	51553	33448
1213	51594	33404
1214	51635	33361
1215	51679	33319
1216	51696	33260
1217	51737	33217
1218	51783	33176
1219	51826	33135
1220	51872	33094
1221	51915	33052
1222	51956	33009
1223	51999	32967
1224	52040	32923
1225	52084	32881
1226	52126	32839
1227	52170	32797
1228	52197	32745
1229	52239	32702
1230	52281	32659
1231	52325	32618
1232	52367	32575
1233	52411	32534
1234	52454	32492
1235	52483	32441
1236	52525	32398
1237	52568	32356
1238	52610	32313
1239	52656	32273
1240	52702	32233
1241	52745	32190
1242	52788	32148
1243	52836	32109
1244	52879	32067
1245	52922	32025
1246	52963	31982
1247	53006	31939
1248	53048	31897
1249	53092	31855
1250	53138	31814
1251	53183	31773
1252	53226	31732
1253	53269	31689
1254	53311	31646
1255	53355	31605
1256	53400	31564
1257	53443	31522
1258	53486	31480
1259	53529	31437
1260	53556	31386
1261	53597	31343
1262	53642	31301
1263	53686	31260
1264	53729	31218
1265	53772	31176
1266	53814	31133
1267	53858	31091
1268	53907	31053
1269	53949	31010
1270	53990	30967
1271	54032	30924
1272	54074	30881
1273	54119	30840
1274	54166	30800
1275	54208	30757
1276	54251	30715
1277	54273	30661
1278	54315	30618
1279	54357	30576
1280	54399	30533
1281	54445	30492
1282	54488	30450
1283	54530	30407
1284	54572	30365
1285	54614	30322
1286	54658	30280
1287	54701	30238
1288	54742	30195
1289	54786	30153
1290	54830	30112
1291	54874	30070
1292	54917	30028
1293	54963	29988
1294	55008	29946
1295	55053	29905
1296	55097	29863
1297	55140	29821
1298	55184	29779
1299	55226	29737
1300	55269	29695
1301	55312	29652
1302	55354	29609
1303	55395	29567
1304	55437	29524
1305	55490	29487
1306	55543	29450
1307	55585	29407
1308	55631	29366
1309	55674	29324
1310	55716	29281
1311	55758	29239
1312	55800	29196
1313	55843	29154
1314	55886	29111
1315	55929	29069
1316	55972	29027
1317	56019	28987
1318	56062	28945
1319	56106	28903
1320	56149	28861
1321	56193	28819
1322	56237	28777
1323	56281	28735
1324	56323	28692
1325	56366	28650
1326	56407	28607
1327	56453	28566
1328	56495	28524
1329	56545	28485
1330	56587	28442
1331	56631	28400
1332	56674	28358
1333	56715	28315
1334	56757	28272
1335	56802	28231
1336	56847	28189
1337	56889	28147
1338	56931	28104
1339	56973	28061
1340	57014	28018
1341	57058	27976
1342	57103	27935
1343	57147	27893
1344	57190	27850
1345	57233	27808
1346	57276	27766
1347	57319	27724
1348	57360	27681
1349	57405	27639
1350	57447	27596
1351	57491	27555
1352	57533	27512
1353	57577	27470
1354	57624	27429
1355	57668	27388
1356	57711	27346
1357	57753	27303
1358	57795	27260
1359	57838	27218
1360	57880	27175
1361	57922	27132
1362	57966	27090
1363	58007	27047
1364	58035	26998
1365	58078	26955
1366	58125	26915
1367	58170	26873
1368	58213	26831
1369	58254	26788
1370	58297	26746
1371	58339	26703
1372	58381	26660
1373	58423	26618
1374	58472	26578
1375	58517	26536
1376	58559	26494
1377	58602	26452
1378	58654	26413
1379	58697	26371
1380	58739	26328
1381	58781	26285
1382	58824	26243
1383	58867	26201
1384	58913	26159
1385	58930	26106
1386	58972	26063
1387	59015	26021
1388	59057	25978
1389	59086	25929
1390	59129	25887
1391	59175	25846
1392	59220	25805
1393	59263	25763
1394	59307	25721
1395	59350	25678
1396	59392	25635
1397	59434	25593
1398	59476	25550
1399	59519	25508
1400	59562	25466
1401	59607	25424
1402	59651	25382
1403	59695	25340
1404	59741	25299
1405	59797	25262
1406	59844	25222
1407	59888	25180
1408	59931	25137
1409	59975	25096
1410	60019	25054
1411	60061	25011
1412	60102	24968
1413	60146	24926
1414	60189	24884
1415	60237	24843
1416	60281	24801
1417	60324	24759
1418	60367	24717
1419	60409	24674
1420	60452	24632
1421	60494	24589
1422	60536	24546
1423	60581	24504
1424	60627	24463
1425	60671	24421
1426	60713	24379
1427	60761	24338
1428	60805	24296
1429	60851	24255
1430	60879	24207
1431	60921	24164
1432	60963	24121
1433	61005	24078
1434	61050	24037
1435	61093	23994
1436	61135	23952
1437	61179	23910
1438	61223	23868
1439	61265	23825
1440	61310	23783
1441	61353	23741
1442	61395	23698
1443	61438	23656
1444	61481	23613
1445	61522	23570
1446	61564	23527
1447	61607	23485
1448	61651	23443
1449	61692	23400
1450	61736	23358
1451	61780	23316
1452	61827	23275
1453	61869	23233
1454	61913	23190
1455	61956	23148
1456	61998	23106
1457	62042	23063
1458	62085	23021
1459	62129	22979
1460	62173	22937
1461	62216	22895
1462	62259	22852
1463	62302	22810
1464	62349	22769
1465	62392	22726
1466	62436	22684
1467	62482	22643
1468	62526	22601
1469	62567	22558
1470	62610	22516
1471	62653	22473
1472	62694	22430
1473	62737	22387
1474	62778	22345
1475	62821	22302
1476	62866	22260
1477	62911	22219
1478	62956	22177
1479	62998	22134
1480	63042	22092
1481	63065	22043
1482	63109	22000
1483	63154	21959
1484	63197	21916
1485	63241	21874
1486	63285	21832
1487	63328	21790
1488	63369	21747
1489	63416	21706
1490	63458	21663
1491	63502	21621
1492	63544	21578
1493	63586	21535
1494	63628	21493
1495	63671	21450
1496	63713	21407
1497	63756	21365
1498	63798	21322
1499	63840	21280
1500	63884	21238
1501	63930	21196
1502	63974	21154
1503	64018	21112
1504	64061	21069
1505	64115	21031
1506	64165	20990
1507	64207	20948
1508	64249	20905
1509	64292	20863
1510	64334	20820
1511	64376	20777
1512	64418	20734
1513	64467	20694
1514	64510	20651
1515	64554	20609
1516	64596	20567
1517	64641	20525
1518	64683	20482
1519	64726	20439
1520	64770	20397
1521	64811	20354
1522	64854	20312
1523	64900	20270
1524	64942	20227
1525	64990	20187
1526	65033	20144
1527	65079	20103
1528	65124	20061
1529	65168	20019
1530	65210	19976
1531	65253	19933
1532	65295	19891
1533	65338	19848
1534	65381	19806
1535	65424	19763
1536	65466	19720
1537	65509	19678
1538	65553	19636
1539	65597	19594
1540	65641	19551
1541	65683	19509
1542	65725	19466
1543	65768	19423
1544	65809	19380
1545	65851	19338
1546	65895	19295
1547	65937	19253
1548	65980	19210
1549	66022	19167
1550	66067	19125
1551	66113	19084
1552	66154	19041
1553	66197	18998
1554	66239	18955
1555	66283	18913
1556	66326	18871
1557	66368	18828
1558	66410	18785
1559	66454	18743
1560	66497	18701
1561	66539	18658
1562	66586	18616
1563	66630	18574
1564	66671	18531
1565	66715	18489
1566	66757	18446
1567	66799	18403
1568	66839	18360
1569	66884	18318
1570	66926	18276
1571	66968	18233
1572	67010	18190
1573	67052	18147
1574	67099	18106
1575	67143	18063
1576	67188	18021
1577	67231	17979
1578	67273	17936
1579	67316	17894
1580	67359	17851
1581	67402	17809
1582	67443	17766
1583	67485	17723
1584	67527	17680
1585	67571	17638
1586	67614	17596
1587	67661	17554
1588	67703	17511
1589	67747	17469
1590	67790	17427
1591	67834	17384
1592	67876	17342
1593	67918	17299
1594	67962	17257
1595	68005	17214
1596	68048	17171
1597	68093	17129
1598	68135	17087
1599	68184	17046
1600	68205	16998
1601	68245	16954
1602	68290	16912
1603	68331	16869
1604	68376	16827
1605	68428	16787
1606	68475	16746
1607	68519	16703
1608	68561	16660
1609	68606	16618
1610	68647	16575
1611	68693	16534
1612	68738	16492
1613	68779	16449
1614	68822	16406
1615	68864	16363
1616	68907	16321
1617	68949	16278
1618	68992	16235
1619	69033	16192
1620	69074	16149
1621	69119	16107
1622	69160	16065
1623	69206	16023
1624	69250	15980
1625	69293	15938
1626	69335	15895
1627	69378	15852
1628	69420	15810
1629	69463	15767
1630	69505	15725
1631	69551	15683
1632	69595	15640
1633	69640	15598
1634	69684	15556
1635	69730	15514
1636	69774	15472
1637	69816	15429
1638	69861	15387
1639	69903	15344
1640	69945	15301
1641	69987	15259
1642	70002	15210
1643	70045	15168
1644	70089	15125
1645	70132	15083
1646	70174	15040
1647	70218	14998
1648	70266	14956
1649	70309	14914
1650	70351	14871
1651	70395	14829
1652	70438	14786
1653	70479	14743
1654	70523	14701
1655	70564	14658
1656	70608	14616
1657	70650	14573
1658	70693	14530
1659	70735	14487
1660	70776	14445
1661	70822	14403
1662	70865	14360
